CARD_REF,STATE,BRAND_CODE,HOLDER,BALANCE_STR,ACTIVE_FLG,EXPIRY_TXT,CVV_TXT,COUNTRY_CODE,CURR,INTL_FLG,MAX_TX_DAY,MAX_TX_AMT,PROVIDER_NAME,PROVIDER_FEE,PROVIDER_LIMIT,PROVIDER_PRIORITY
VC-100000,B,01,NORMA FISHER,"1346,75",N,05/27,647,BR,BRL,N,44,"1812,80",SQUARE,4.88,80311,3
VC-100001,A,01,JORGE SULLIVAN,"2703,82",N,06/27,239,ES,EUR,Y,49,"4831,78",ADYEN,0.59,87567,4
VC-100002,A,05,ELIZABETH WOODS,"3770,72",Y,07/28,806,PT,BRL,N,29,"4796,82",ADYEN,1.65,3236,1
VC-100003,A,02,SUSAN WAGNER,"3002,19",N,06/25,908,PT,BRL,Y,30,"4328,46",STRIPE,0.53,64654,2
VC-100004,A,01,PETER MONTGOMERY,"1373,98",N,09/27,539,US,BRL,N,41,"2858,67",ADYEN,2.95,93379,5
VC-100005,B,04,THEODORE MCGRATH,"3761,38",N,05/25,968,PT,BRL,Y,48,"3154,46",ADYEN,1.18,8500,5
VC-100006,A,04,STEPHANIE COLLINS,"3615,73",Y,07/30,746,US,BRL,N,11,"4734,46",SQUARE,4.85,84858,1
VC-100007,A,04,STEPHANIE SUTTON,"4516,24",N,08/24,657,BR,BRL,N,48,"4152,80",STRIPE,4.13,46615,5
VC-100008,B,01,BRIAN HAMILTON,"2639,17",Y,06/28,149,ES,EUR,Y,34,"3784,55",ADYEN,1.22,39531,3
VC-100009,A,05,SUSAN LEVY,"969,58",N,11/29,697,PT,USD,N,7,"3107,90",ADYEN,0.66,14753,1
VC-100010,B,02,SEAN GREEN,"2655,80",N,07/26,738,US,BRL,Y,38,"4205,57",STRIPE,3.25,25245,4
VC-100011,B,01,KIMBERLY SMITH,"4270,18",Y,09/27,259,BR,EUR,Y,21,"1703,76",PAYPAL,2.39,2540,3
VC-100012,A,03,JENNIFER SUMMERS,"351,29",Y,11/24,613,BR,BRL,N,27,"3026,75",PAYPAL,2.37,54367,1
VC-100013,A,05,APRIL SNYDER,"2926,54",Y,08/26,123,US,EUR,N,36,"4605,50",SQUARE,4.93,46679,4
VC-100014,A,02,DANA NGUYEN,"871,97",N,06/28,149,BR,USD,N,38,"3134,30",PAYPAL,0.70,58990,5
VC-100015,A,03,CHERYL BRADLEY,"1464,17",N,12/25,126,ES,EUR,Y,18,"1174,15",ADYEN,2.28,9331,4
VC-100016,A,03,WALTER PRATT,"4963,11",N,02/28,372,BR,USD,Y,36,"4554,75",PAYPAL,4.65,37300,5
VC-100017,A,04,BOBBY FLORES,"2577,24",N,09/26,104,PT,USD,N,28,"2407,31",STRIPE,2.16,62392,3
VC-100018,A,05,TASHA RODRIGUEZ,"1008,94",N,10/26,126,US,BRL,Y,41,"3876,41",STRIPE,0.83,78623,3
VC-100019,B,05,MICHELLE KELLEY,"4109,37",Y,08/26,109,ES,USD,N,49,"3139,80",ADYEN,2.96,17977,2
VC-100020,A,04,KIMBERLY MAYNARD,"2805,66",Y,12/26,864,BR,USD,N,15,"2013,57",PAYPAL,4.50,43397,1
VC-100021,B,04,LAURIE WALLACE,"3739,76",N,01/24,737,US,EUR,N,13,"2469,33",STRIPE,0.53,92161,1
VC-100022,A,02,JANICE JOHNSTON,"3662,92",N,02/24,946,PT,USD,N,23,"1224,75",STRIPE,3.46,74825,4
VC-100023,B,03,COLLIN LOPEZ,"2732,94",Y,04/27,130,PT,BRL,N,34,"830,75",STRIPE,2.69,24438,5
VC-100024,A,01,MARY ALVAREZ,"1993,74",Y,03/26,110,US,USD,Y,31,"3108,06",SQUARE,1.38,99478,1
VC-100025,A,01,PETER MCDOWELL,"3769,76",Y,01/24,487,PT,USD,N,9,"1787,71",SQUARE,3.98,54875,1
VC-100026,A,04,SARAH VILLANUEVA,"3324,06",Y,04/30,208,US,EUR,Y,9,"1689,03",ADYEN,4.54,32946,1
VC-100027,A,03,KIMBERLY MYERS,"3229,62",Y,08/26,772,PT,BRL,N,45,"1012,18",STRIPE,2.25,7086,2
VC-100028,B,02,DESIREE CAIN,"4894,89",N,08/28,137,BR,USD,N,23,"2142,58",SQUARE,1.80,36943,1
VC-100029,B,02,STEPHANIE LAWRENCE,"313,24",Y,04/25,853,US,USD,N,38,"104,20",PAYPAL,1.86,80772,5
VC-100030,A,03,LAUREN HAYES,"1114,89",N,05/25,201,BR,USD,N,27,"454,98",SQUARE,3.37,86014,4
VC-100031,B,04,WHITNEY STARK,"366,79",Y,05/27,651,PT,BRL,N,39,"4332,94",STRIPE,3.39,49041,5
VC-100032,B,01,ANGELA SALAZAR,"4081,46",Y,01/30,203,US,BRL,Y,2,"3240,32",SQUARE,4.64,69100,5
VC-100033,A,04,MR. RYAN SANCHEZ,"4367,19",Y,10/27,151,US,EUR,N,5,"4068,02",ADYEN,4.58,35464,2
VC-100034,B,03,AUTUMN ROBINSON,"689,19",Y,01/27,859,ES,EUR,N,39,"2165,68",STRIPE,1.43,31453,2
VC-100035,B,01,FAITH CABRERA,"74,05",N,09/27,407,US,BRL,Y,46,"3721,04",PAYPAL,4.76,92839,4
VC-100036,B,01,CHARLES WOLFE,"278,79",Y,05/29,743,BR,USD,Y,18,"3145,80",STRIPE,4.28,80793,3
VC-100037,B,04,KENNETH KENT,"192,55",Y,05/28,298,ES,USD,N,43,"1950,62",PAYPAL,4.95,27906,3
VC-100038,A,01,MELANIE JOHNSON,"2020,86",N,04/26,871,US,EUR,Y,42,"391,69",STRIPE,4.32,99191,5
VC-100039,B,04,LISA JOHNSTON,"4470,20",N,05/29,367,US,EUR,Y,6,"3590,23",SQUARE,4.05,8862,3
VC-100040,A,05,JACOB HOOPER,"2508,77",N,10/28,512,ES,EUR,Y,15,"3879,84",ADYEN,2.51,60333,5
VC-100041,B,02,ALEX WOODWARD,"2033,15",N,05/30,312,ES,USD,Y,39,"4400,98",ADYEN,4.43,48625,5
VC-100042,A,03,CALEB CLARK,"2680,96",Y,08/28,279,US,BRL,Y,42,"1124,91",SQUARE,2.58,71071,4
VC-100043,B,04,TAYLOR JOHNSON,"3128,31",N,10/30,391,BR,BRL,N,30,"3964,84",ADYEN,2.89,96328,2
VC-100044,B,04,BRIAN GREEN,"163,37",N,05/30,429,US,EUR,Y,39,"2138,43",PAYPAL,3.42,37418,3
VC-100045,B,03,MATTHEW BELL,"1338,75",Y,01/27,211,PT,USD,Y,28,"814,45",SQUARE,4.95,39070,5
VC-100046,A,03,JONATHAN WILLIAMS,"364,57",Y,03/26,211,ES,EUR,Y,31,"4718,30",STRIPE,1.49,53496,2
VC-100047,A,02,WILLIAM GONZALEZ,"883,74",Y,10/25,462,BR,EUR,N,36,"1903,89",PAYPAL,2.48,98570,4
VC-100048,B,03,NICHOLAS MASSEY,"1218,86",N,12/27,577,BR,EUR,Y,50,"3168,76",PAYPAL,3.23,71752,2
VC-100049,B,03,CAROLINE CHAMBERS,"98,67",Y,06/28,261,BR,USD,Y,16,"1014,70",SQUARE,3.80,25042,2
VC-100050,A,04,AMY LOWE,"3154,68",Y,02/26,653,ES,BRL,N,1,"1094,39",PAYPAL,1.20,57219,1
VC-100051,A,02,GLORIA KING,"4449,59",N,03/30,715,ES,USD,N,14,"3016,23",SQUARE,1.66,51726,3
VC-100052,B,04,JESSICA THOMPSON,"3504,45",Y,01/28,526,US,BRL,N,12,"4019,66",SQUARE,4.41,16483,4
VC-100053,B,05,JASON CARROLL,"1262,70",N,02/25,347,PT,EUR,Y,36,"3598,18",STRIPE,2.28,75720,3
VC-100054,B,04,EMILY HOWARD,"4479,29",N,08/28,950,ES,BRL,Y,3,"4786,79",ADYEN,4.17,83440,5
VC-100055,A,01,DANIELLE CASTRO,"4296,01",N,07/29,691,US,EUR,Y,11,"1290,37",SQUARE,1.84,32166,4
VC-100056,A,03,PATRICK ROGERS,"4699,75",N,05/28,149,PT,USD,N,5,"791,29",ADYEN,2.73,17403,5
VC-100057,A,03,DOUGLAS ALLEN,"37,28",Y,12/30,796,US,USD,N,40,"877,92",STRIPE,0.97,91577,5
VC-100058,B,03,HEATHER ROBERTS,"4900,15",Y,03/27,389,PT,BRL,N,9,"885,39",ADYEN,4.19,78060,1
VC-100059,B,02,TRAVIS SCHULTZ,"3486,26",N,09/27,942,US,BRL,Y,28,"892,09",ADYEN,4.64,29120,1
VC-100060,A,02,MICHELLE HUGHES,"2046,24",Y,12/29,850,PT,USD,Y,31,"2430,87",PAYPAL,3.59,46068,3
VC-100061,B,01,MATTHEW SMITH,"2219,49",N,09/26,541,ES,EUR,N,45,"3175,23",STRIPE,3.68,74826,2
VC-100062,A,05,GEORGE ALLEN,"409,54",N,02/29,692,PT,USD,N,37,"1091,19",STRIPE,1.60,78375,2
VC-100063,A,02,JAMIE HUTCHINSON,"833,40",N,05/26,498,PT,BRL,Y,48,"3173,74",ADYEN,1.67,71773,2
VC-100064,A,01,JENNIFER MORALES,"2057,51",N,10/28,194,ES,BRL,Y,4,"2448,77",STRIPE,3.29,86375,5
VC-100065,A,02,JENNIFER BATES,"428,29",N,04/29,552,ES,BRL,N,16,"814,00",PAYPAL,3.03,72313,2
VC-100066,A,04,JEREMY GREEN,"2978,07",N,02/28,528,US,EUR,Y,16,"4919,94",STRIPE,3.13,96879,1
VC-100067,B,02,JOSEPH FREEMAN,"1858,12",Y,06/28,322,BR,USD,N,16,"2108,53",STRIPE,4.04,12388,5
VC-100068,A,04,NICOLE HENSON,"4436,46",Y,03/27,623,ES,USD,Y,24,"3663,90",SQUARE,1.90,6938,1
VC-100069,B,01,ERIC OWENS PHD,"1184,32",N,07/27,996,BR,USD,N,47,"952,10",ADYEN,1.76,20594,2
VC-100070,A,03,ROBIN LOPEZ,"543,64",N,05/29,989,BR,USD,Y,36,"4989,24",ADYEN,2.51,57593,1
VC-100071,B,03,MISS ANGELA SWANSON DVM,"1238,72",Y,11/29,859,PT,EUR,Y,44,"3317,68",SQUARE,2.87,86165,1
VC-100072,B,02,MICHAEL STEWART,"3102,90",Y,08/27,817,ES,BRL,N,15,"796,65",PAYPAL,1.96,27490,5
VC-100073,A,04,MITCHELL SMITH,"3740,44",Y,07/26,974,US,USD,N,42,"2300,09",SQUARE,1.82,47716,4
VC-100074,B,05,KELSEY DAVIS,"3836,12",N,04/28,869,US,USD,N,44,"4922,56",STRIPE,3.28,40419,2
VC-100075,B,02,MATTHEW RUSSO,"3890,17",Y,05/29,200,US,BRL,N,1,"3530,44",SQUARE,3.61,74443,3
VC-100076,B,05,WILLIAM GARCIA,"1185,10",Y,03/27,739,US,USD,Y,49,"4043,09",SQUARE,3.34,74196,5
VC-100077,A,01,JENNIFER MILLER,"4133,38",Y,10/27,593,BR,EUR,Y,34,"4548,68",ADYEN,3.98,90070,1
VC-100078,B,02,JESSE SPARKS,"3201,08",N,07/25,117,ES,USD,N,2,"4786,96",ADYEN,2.49,70042,3
VC-100079,A,03,BRANDI MEYER,"4527,53",Y,04/28,829,PT,USD,N,20,"2173,99",PAYPAL,3.00,61991,3
VC-100080,B,02,HANNAH WIGGINS,"3228,69",Y,06/26,220,US,USD,Y,20,"2993,73",SQUARE,4.03,76845,5
VC-100081,B,01,ALBERT WILLIAMS,"586,10",Y,09/24,458,BR,USD,Y,1,"1987,40",STRIPE,3.63,88267,1
VC-100082,A,03,KRISTIN POTTS,"3096,02",Y,07/27,748,BR,BRL,Y,41,"3911,84",SQUARE,0.79,43943,2
VC-100083,A,04,SUSAN WILLIAMS,"1345,57",N,03/26,227,ES,BRL,N,5,"1708,34",STRIPE,3.03,31148,3
VC-100084,A,03,MEREDITH RIOS,"801,75",Y,10/28,826,ES,BRL,Y,49,"3351,00",ADYEN,2.90,97984,4
VC-100085,B,05,STEPHANIE BOWMAN,"2549,50",Y,05/28,149,ES,BRL,N,27,"1263,01",SQUARE,1.53,83059,5
VC-100086,A,01,JOSHUA CLARK,"522,80",N,07/30,622,PT,BRL,N,12,"106,64",ADYEN,1.62,88411,4
VC-100087,B,01,ALEXA HERNANDEZ,"1844,35",Y,07/24,360,US,USD,Y,43,"328,43",ADYEN,2.25,44330,3
VC-100088,B,04,RICHARD HIGGINS,"2374,48",N,12/27,419,PT,BRL,N,24,"1545,26",ADYEN,4.95,9638,1
VC-100089,A,03,MARC WILLIAMS,"4859,29",Y,02/24,789,BR,EUR,N,36,"4812,02",SQUARE,2.29,66742,4
VC-100090,B,01,WILLIAM ROBERTS,"1796,53",N,08/28,651,BR,BRL,Y,32,"537,46",STRIPE,4.61,64540,4
VC-100091,A,02,JOSHUA CARTER,"860,04",Y,06/30,101,BR,USD,Y,30,"2408,20",PAYPAL,3.42,77905,2
VC-100092,A,02,DAVID WILLIAMS,"74,23",N,10/26,394,BR,USD,N,25,"541,00",ADYEN,1.58,23374,1
VC-100093,B,03,JOSEPH JONES,"2885,35",Y,01/25,279,BR,BRL,N,3,"741,88",STRIPE,4.29,26458,1
VC-100094,A,05,GARY PERRY,"1519,65",N,11/26,143,US,BRL,N,11,"1315,40",PAYPAL,2.12,36862,2
VC-100095,A,01,TERRY WELLS,"3869,20",N,09/26,177,US,EUR,Y,6,"3562,38",PAYPAL,4.93,86668,2
VC-100096,B,05,VANESSA COOPER,"3540,71",Y,05/29,781,BR,BRL,Y,22,"646,37",SQUARE,4.96,29960,4
VC-100097,A,05,MICHAEL SIMMONS,"3523,90",N,06/26,911,ES,USD,N,45,"2934,95",SQUARE,4.66,32658,4
VC-100098,A,02,NICHOLAS KLINE,"2697,53",N,07/29,380,BR,BRL,N,46,"374,58",SQUARE,2.71,65757,2
VC-100099,B,04,LORI BENNETT,"3466,52",N,07/25,794,BR,EUR,N,42,"1895,73",SQUARE,4.77,44021,2
VC-100100,B,01,MARGARET JONES,"3602,40",Y,02/30,871,US,USD,N,17,"962,45",STRIPE,4.17,68137,4
VC-100101,B,02,PAUL BROWN,"3064,73",Y,08/30,962,US,EUR,Y,33,"1962,33",PAYPAL,3.36,91917,5
VC-100102,A,01,JAMES STONE,"25,32",Y,05/29,532,US,USD,N,44,"996,32",STRIPE,0.58,32959,4
VC-100103,B,03,JOHN RICHARDS,"2893,46",Y,01/30,467,US,EUR,Y,34,"313,63",ADYEN,1.35,48513,1
VC-100104,B,01,JENNY RICHARDSON,"3285,89",N,02/24,868,BR,USD,Y,29,"2503,04",STRIPE,0.71,87984,5
VC-100105,B,05,DEBBIE WATERS MD,"237,68",N,11/28,379,US,BRL,N,46,"2811,01",STRIPE,2.57,82420,3
VC-100106,B,01,AUSTIN BOYER,"105,12",Y,12/28,409,US,BRL,N,21,"3805,54",PAYPAL,1.90,49302,5
VC-100107,A,03,STEPHANIE HAYES,"4130,44",Y,11/30,335,PT,USD,N,13,"2858,86",PAYPAL,4.53,86001,4
VC-100108,A,05,BARBARA SANDERS,"982,86",Y,12/27,208,ES,USD,N,50,"1880,55",ADYEN,1.33,85557,3
VC-100109,A,04,ANDREW GOULD,"4401,01",Y,12/26,244,ES,USD,Y,35,"4107,64",PAYPAL,4.02,86091,4
VC-100110,B,04,CHARLES GONZALEZ,"735,07",N,09/27,694,ES,BRL,Y,35,"2235,63",PAYPAL,1.80,92860,3
