cardRef,state,brandCode,holderNameRaw,balanceTxt,currencyCode,internationalFlag,expiryTxt,cvvTxt,pinTxt,maxDailyTxTxt,maxTxAmountTxt,issuingCountryCode,notesRaw,providerCode,providerFeePctTxt,providerDailyLimitTxt,providerPriorityTxt,providerState,providerCountry,txKind,txAmountTxt,txRequestRef
VC-00001,A,02,USER 1,"4128,51",BRL,N,12/34,862,2398,31,"2906,71",US,Legacy note 1,SQUARE,0.72,8266,1,B,France,T,"53,53",80a8399f-ee58-4cf7-9033-81c9b09bb570
VC-00001,A,02,USER 1,"4128,51",BRL,N,12/34,862,2398,31,"2906,71",US,Legacy note 1,ADYEN,0.72,8266,1,B,France,P,"2969,28",ba810a19-4f8d-4086-8d9e-ce934a1e8ac3
VC-00001,A,02,USER 1,"4128,51",BRL,N,12/34,862,2398,31,"2906,71",US,Legacy note 1,PAYPAL,0.72,8266,1,B,France,T,"6324,03",e10941db-3ec6-4fc8-819b-76ad3ce62dc9
VC-00001,A,02,USER 1,"4128,51",BRL,N,12/34,862,2398,31,"2906,71",US,Legacy note 1,ADYEN,0.72,8266,1,B,France,P,"6154,02",2b762f0b-feff-4b5d-a4a2-211d77d662af
VC-00001,A,02,USER 1,"4128,51",BRL,N,12/34,862,2398,31,"2906,71",US,Legacy note 1,STRIPE,0.72,8266,1,B,France,C,"9562,58",30df9dd1-f2aa-48d8-869f-9d6e91d09bcb
VC-00006,A,01,USER 6,"3925,98",USD,Y,01/33,875,6352,33,"1027,65",PT,Legacy note 6,STRIPE,0.68,4698,2,A,France,C,"1850,45",38d7b1e4-11a2-4d0f-8421-043daede2b53
VC-00007,A,05,USER 7,"2173,78",BRL,Y,09/30,281,7919,27,"3357,38",PT,Legacy note 7,ADYEN,3.63,6411,2,B,Portugal,P,"8831,56",92b9997f-6a45-4c51-b3e2-e61433aa47f2
VC-00008,B,05,USER 8,"6656,81",EUR,Y,04/26,536,4441,45,"2807,05",US,Legacy note 8,PAYPAL,2.51,12108,5,B,France,P,"6810,57",a894e7b4-2138-49b5-9d53-0a4160f0a6a9
VC-00009,B,04,USER 9,"4890,44",USD,Y,01/25,494,5743,8,"1624,70",PT,Legacy note 9,PAYPAL,1.30,5524,2,B,France,T,"134,01",e45a3a57-7ee4-4790-abcf-73f9c318d378
VC-00010,B,02,USER 10,"1698,64",USD,N,06/29,600,3808,11,"1418,13",PT,Legacy note 10,ADYEN,1.99,5463,2,A,France,C,"498,01",a484ec62-2736-4e5a-9a8e-bb0b77fc5490
VC-00011,B,03,USER 11,"4546,04",BRL,Y,05/33,193,5926,44,"2438,60",US,Legacy note 11,ADYEN,2.01,7083,5,A,USA,C,"178,78",239ffdb0-b5d7-4857-bca2-1ee05de5547b
VC-00012,A,01,USER 12,"7939,43",USD,N,07/28,356,7438,10,"4937,59",BR,Legacy note 12,STRIPE,1.37,5332,4,A,USA,P,"3580,67",80600861-edc2-4994-91a4-76c929cca379
VC-00013,B,02,USER 13,"6727,95",USD,N,01/35,225,8782,2,"2722,16",PT,Legacy note 13,PAYPAL,0.80,11072,3,B,France,C,"4042,89",dd5f595c-3891-4e77-81a5-331324becf65
VC-00014,A,02,USER 14,"1562,94",EUR,Y,03/31,529,1485,20,"3626,97",ES,Legacy note 14,PAYPAL,3.35,11720,4,A,France,T,"8572,33",cf3bed4c-7618-4031-b804-ad9174a443c7
VC-00015,B,01,USER 15,"4817,09",USD,Y,12/33,400,6277,38,"2698,70",US,Legacy note 15,STRIPE,2.02,10141,1,B,USA,C,"2374,76",857e95c4-6d4f-45f9-9a8e-16cda05d40c1
VC-00016,B,03,USER 16,"298,89",EUR,Y,03/29,737,9717,7,"4389,99",ES,Legacy note 16,ADYEN,0.77,2713,2,B,Spain,C,"4370,31",afe8d785-eb82-4b53-9d1c-55992fc1816a
VC-00017,B,02,USER 17,"3179,32",USD,N,03/33,289,6524,39,"2495,14",ES,Legacy note 17,SQUARE,4.57,13196,3,A,Spain,T,"4178,84",d8f5f6cc-69d8-48bc-9e16-c43258349e91
VC-00018,A,03,USER 18,"6177,43",BRL,Y,11/35,557,4395,43,"669,07",FR,Legacy note 18,ADYEN,4.50,13329,3,B,Portugal,C,"9970,98",42d68b1d-8546-4047-88e2-f79bf2718885
VC-00019,B,01,USER 19,"8094,13",USD,N,11/34,547,4104,24,"1780,04",ES,Legacy note 19,SQUARE,3.37,14360,4,B,Spain,T,"6257,50",06e16e7d-afd8-4c0f-a404-74c797a9d4c9
VC-00020,A,03,USER 20,"229,36",BRL,N,08/29,296,2737,1,"1341,66",FR,Legacy note 20,ADYEN,1.10,18974,4,A,Spain,C,"3711,93",3525ded4-39c5-4d17-a7e6-577adcc5c305
VC-00021,B,05,USER 21,"5494,71",EUR,Y,09/25,122,5762,7,"133,61",US,Legacy note 21,PAYPAL,4.25,11316,2,B,USA,T,"8794,75",7463793c-aae4-46f1-845d-ada09653285f
VC-00022,B,05,USER 22,"1535,96",USD,Y,07/31,823,4191,50,"4140,21",ES,Legacy note 22,PAYPAL,1.82,1451,1,A,Brazil,T,"4523,70",9207dd03-5da4-4315-b10f-d24db78353de
VC-00023,A,04,USER 23,"7763,44",EUR,N,08/29,101,2214,32,"2842,30",BR,Legacy note 23,PAYPAL,3.18,1222,5,A,Spain,C,"7877,46",e9fff52f-c829-4f42-886a-199955371b0a
VC-00024,B,03,USER 24,"2728,41",USD,Y,05/33,190,1362,34,"4906,72",US,Legacy note 24,SQUARE,4.96,18331,4,B,France,C,"5179,06",dcb64e7d-c878-4cf2-a88d-85678f52dbe1
VC-00025,B,04,USER 25,"8703,54",EUR,Y,11/35,282,1504,10,"1941,47",FR,Legacy note 25,PAYPAL,4.86,19233,2,A,USA,P,"729,22",d507f256-5e90-4b53-ac39-06e7e027ec52
VC-00026,B,01,USER 26,"5655,99",EUR,N,04/33,206,1166,4,"3833,38",US,Legacy note 26,PAYPAL,3.38,2598,3,B,USA,C,"5883,94",45bffbe3-b564-4de5-9763-b90df65deb8b
VC-00027,A,04,USER 27,"1230,04",BRL,Y,12/29,306,6530,24,"388,57",BR,Legacy note 27,SQUARE,1.89,2883,2,A,Brazil,P,"796,21",a84aada1-9f44-46fb-a1ed-97c9acb3f11e
VC-00028,A,01,USER 28,"2927,33",EUR,N,11/30,551,1515,7,"895,84",FR,Legacy note 28,ADYEN,0.90,17890,5,B,Portugal,T,"8296,11",bf83c2d0-b394-4109-af46-690b1a9a4ce1
VC-00029,A,03,USER 29,"7554,12",EUR,Y,09/35,537,6813,21,"581,78",BR,Legacy note 29,ADYEN,0.62,11710,2,B,Spain,P,"1756,12",49a99b67-f8a5-4570-8f04-b5d51b3ebbbe
VC-00030,A,01,USER 30,"4755,80",EUR,Y,10/33,593,7623,4,"1148,19",ES,Legacy note 30,ADYEN,4.21,4267,4,B,Brazil,C,"7648,40",2155d7a5-5bca-45b6-b7de-0fd5ff48cf18
VC-00031,A,05,USER 31,"1668,86",BRL,N,07/27,914,2229,13,"3467,66",ES,Legacy note 31,SQUARE,1.40,18297,2,A,Portugal,C,"3449,52",c0ce10dc-ee83-40b4-8701-2afd993d96ec
VC-00032,A,03,USER 32,"149,48",EUR,N,02/30,430,9174,5,"2744,28",BR,Legacy note 32,ADYEN,2.48,19555,3,A,France,P,"9764,35",5e38fb4e-5f5a-4a6b-afd6-447e761a0c5d
VC-00033,B,03,USER 33,"2836,96",EUR,N,02/26,882,4757,34,"899,15",FR,Legacy note 33,PAYPAL,4.30,9990,1,B,USA,T,"618,49",127ef8a8-9173-4b94-875a-8ee1d0d4a7c1
VC-00034,A,01,USER 34,"6447,47",BRL,N,09/34,591,5378,15,"3695,73",FR,Legacy note 34,ADYEN,3.19,2599,2,A,USA,T,"941,96",78604b3a-a8c1-4ad3-82ce-c54a36b2526b
VC-00035,A,01,USER 35,"1704,30",USD,Y,12/26,162,2043,16,"3551,30",US,Legacy note 35,PAYPAL,1.50,10113,5,A,Portugal,P,"2657,69",6475e749-3fbc-4f34-bb12-a088be7023aa
VC-00036,A,03,USER 36,"5077,27",BRL,Y,08/35,539,3113,5,"2597,56",BR,Legacy note 36,SQUARE,3.72,14688,4,B,Brazil,T,"1497,48",b7cee153-4052-4d49-95c7-e52002f03f3b
VC-00037,A,01,USER 37,"630,85",BRL,N,11/30,547,1204,46,"3549,93",BR,Legacy note 37,SQUARE,2.89,11697,1,A,Brazil,T,"9482,99",aac6184f-4171-48f2-b5e2-8399e436c909
VC-00038,A,03,USER 38,"5475,58",EUR,Y,06/31,472,2633,49,"3918,86",US,Legacy note 38,SQUARE,1.27,12520,4,B,Portugal,C,"9155,97",aa00ed56-bf44-4738-b0ab-3c9a7c03aae7
VC-00039,A,04,USER 39,"8942,55",EUR,N,10/31,829,1601,10,"3248,05",FR,Legacy note 39,SQUARE,2.71,11465,5,A,Spain,T,"7483,65",3d812a0c-f184-447a-9d96-1d32f480e08f
VC-00040,B,02,USER 40,"670,85",USD,N,08/26,399,5283,20,"2268,40",US,Legacy note 40,STRIPE,3.29,13595,3,A,France,C,"8094,36",c2a0307f-eeb2-4e21-8602-aad9a11845e7
VC-00041,A,05,USER 41,"469,09",USD,N,06/25,810,3097,36,"2144,18",ES,Legacy note 41,ADYEN,3.81,11644,4,A,Brazil,T,"5288,21",e8577d1c-1e7d-4542-a1ed-26181849fb31
VC-00042,A,04,USER 42,"6218,58",USD,Y,12/26,235,8046,50,"1293,00",BR,Legacy note 42,ADYEN,3.56,2042,3,B,France,C,"4869,02",2b484b0a-aa71-4f82-a0b6-38571bf5be02
VC-00043,B,03,USER 43,"8343,69",BRL,N,03/29,388,8180,30,"3730,20",ES,Legacy note 43,SQUARE,0.97,2447,4,B,Spain,C,"3634,90",5e3fc0f7-556a-4ab0-9f30-678c61eb9b51
VC-00044,A,04,USER 44,"5834,69",BRL,N,03/27,567,2762,21,"3790,26",US,Legacy note 44,PAYPAL,2.60,17444,1,B,Portugal,T,"8948,77",a093e4f6-59d9-4d13-8fb9-b8278cbf3dec
VC-00045,A,01,USER 45,"129,25",USD,Y,01/29,621,2578,21,"3343,98",PT,Legacy note 45,ADYEN,0.88,5489,1,B,Portugal,T,"2196,48",4fb66c6d-991b-4690-8681-4e0d44772deb
VC-00046,A,01,USER 46,"4807,38",BRL,N,07/28,488,6457,21,"3274,28",ES,Legacy note 46,PAYPAL,3.30,4122,5,A,Portugal,P,"2133,79",174044ad-317e-4a83-a6ff-65ce4356fad6
VC-00047,B,03,USER 47,"3965,43",BRL,Y,02/30,371,3962,47,"1517,98",BR,Legacy note 47,STRIPE,1.56,15264,1,B,Portugal,P,"513,04",0ba5072c-30ef-4dfd-a7f1-3504e0bbc06c
VC-00048,A,04,USER 48,"5937,43",USD,N,09/30,578,2107,32,"4068,83",US,Legacy note 48,PAYPAL,2.04,11530,3,A,Brazil,T,"3750,66",6749cf05-dfa5-416f-afec-c656e0fb103e
VC-00049,B,01,USER 49,"5221,44",BRL,N,03/35,451,2835,50,"1757,41",US,Legacy note 49,SQUARE,0.78,13828,1,A,Spain,P,"9202,01",20af469f-efca-4eb2-b3f6-9cbdbf908bcf
VC-00050,A,04,USER 50,"1103,55",EUR,N,06/32,773,7151,2,"3660,42",BR,Legacy note 50,STRIPE,1.48,18250,1,B,Portugal,T,"2773,22",af7f6e9b-7348-45b6-9eb3-dc9fa1cd8537
VC-00051,B,03,USER 51,"6012,23",BRL,N,02/27,699,1184,33,"1561,13",US,Legacy note 51,STRIPE,1.37,13302,5,B,France,T,"2562,81",08f7609d-3b25-4290-8770-8b78c17b0a87
VC-00052,A,01,USER 52,"9561,43",USD,N,01/30,759,9595,33,"1471,00",FR,Legacy note 52,PAYPAL,0.50,2752,5,B,Spain,C,"477,22",a61f7b6d-5bcb-4356-915c-1eb289f5b74a
VC-00053,B,03,USER 53,"2776,77",USD,N,10/30,535,7560,45,"3629,80",BR,Legacy note 53,STRIPE,2.05,4583,2,A,Spain,P,"8713,21",dfc7a5a8-ba92-4071-99eb-b0f917b66de4
VC-00054,A,04,USER 54,"7901,91",EUR,N,04/32,321,5316,6,"3852,80",FR,Legacy note 54,ADYEN,4.00,930,4,B,France,T,"4282,08",8cabd286-0c76-4ac7-a51a-75528ec4f6fe
VC-00055,B,03,USER 55,"837,41",USD,Y,12/28,546,1970,50,"3821,73",BR,Legacy note 55,PAYPAL,0.62,3569,3,A,France,P,"8544,94",ca7fc3f4-d40c-4c7b-9e5a-1d2f639b6a78
VC-00056,B,02,USER 56,"1789,89",BRL,Y,02/25,764,9250,30,"3697,43",BR,Legacy note 56,PAYPAL,4.10,14017,3,A,USA,P,"8439,12",d679d39b-827d-4df8-9f0e-d6f5bd645788
VC-00057,B,05,USER 57,"6652,70",BRL,N,09/26,173,4010,44,"3721,73",FR,Legacy note 57,STRIPE,0.59,12222,3,B,Portugal,P,"1357,28",83f02e1e-96fd-4c23-822c-b234f53686db
VC-00058,B,04,USER 58,"306,71",USD,Y,07/29,199,3688,16,"1266,96",FR,Legacy note 58,SQUARE,4.15,9284,1,B,Spain,P,"9032,15",1daf8c7f-cedf-4214-9bd9-b6767dac3265
VC-00059,B,01,USER 59,"9470,57",USD,N,01/33,970,3983,3,"982,53",US,Legacy note 59,STRIPE,1.34,12231,2,B,Brazil,T,"7039,81",4aa40906-0f7f-4036-9d10-7653c7db6a2d
VC-00060,B,03,USER 60,"7011,29",BRL,N,03/27,467,4600,50,"1523,09",ES,Legacy note 60,SQUARE,3.62,19473,3,A,Spain,T,"1915,65",b7223088-d95a-4cb3-a031-0a9b7719e3d7
VC-00061,A,04,USER 61,"6695,40",BRL,N,04/25,792,6395,32,"2533,09",PT,Legacy note 61,SQUARE,2.18,10843,5,B,USA,C,"2344,93",7a2e120b-843a-48e8-8aca-04da80e011db
VC-00062,B,04,USER 62,"5886,11",EUR,N,12/33,203,9605,6,"1762,97",PT,Legacy note 62,SQUARE,2.12,16439,1,B,USA,P,"849,99",060c60b7-25f3-4701-ad12-a3a51c5b55db
VC-00063,B,04,USER 63,"7362,23",EUR,Y,11/30,811,7771,22,"258,51",PT,Legacy note 63,PAYPAL,4.82,15570,2,B,France,P,"9997,67",91cd4b3b-8909-4f93-9ad1-7a30bc60143e
VC-00064,B,03,USER 64,"6181,84",BRL,N,07/34,750,6901,30,"4905,54",FR,Legacy note 64,STRIPE,2.30,18391,1,B,Brazil,P,"9428,98",dc64b3b1-1503-4cbb-aec3-f5e797e3da7b
VC-00065,B,04,USER 65,"6550,73",EUR,Y,04/26,444,7061,31,"1101,45",PT,Legacy note 65,ADYEN,1.36,13384,2,A,France,P,"3968,89",cc7a412b-a10f-4c2e-8f94-5dcc968d9038
VC-00066,B,02,USER 66,"2542,59",BRL,Y,03/32,392,9383,8,"4336,42",US,Legacy note 66,SQUARE,3.93,1298,2,A,Portugal,C,"2537,71",947525b8-e4ff-4997-8af4-8e13c4d230d4
VC-00067,B,04,USER 67,"8751,01",BRL,N,10/34,428,4490,45,"4347,41",US,Legacy note 67,SQUARE,2.96,14233,1,B,USA,P,"8393,60",4357c44e-e1d2-482e-8480-b48ed44edb51
VC-00068,B,05,USER 68,"8060,16",BRL,N,04/31,711,5003,40,"1666,27",FR,Legacy note 68,SQUARE,1.10,13789,1,A,France,T,"4450,50",5824824d-20cc-4cca-bcd7-edd500b00a54
VC-00069,B,05,USER 69,"3891,26",BRL,N,01/35,318,9844,31,"1755,46",US,Legacy note 69,ADYEN,4.11,10081,2,A,Brazil,C,"9520,35",40937e05-0c28-4123-8203-625a0ffa830d
VC-00070,A,03,USER 70,"8342,77",EUR,Y,11/29,748,1283,46,"799,09",US,Legacy note 70,PAYPAL,2.14,17151,1,A,Portugal,T,"5139,40",90c12c30-19f9-4504-990c-da01fd096a8b
VC-00071,A,01,USER 71,"9408,00",EUR,Y,04/30,718,1411,37,"3311,02",ES,Legacy note 71,SQUARE,2.61,16737,2,B,Portugal,T,"3989,31",e1115692-e6a9-449a-b649-077c40fa3625
VC-00072,B,03,USER 72,"1054,35",BRL,N,10/33,366,4758,30,"1223,57",US,Legacy note 72,SQUARE,2.21,17279,3,B,USA,P,"204,86",40b2485e-3797-4880-b0d2-f7a0fd83313d
VC-00073,A,02,USER 73,"4871,34",EUR,Y,01/34,218,2790,44,"272,58",FR,Legacy note 73,PAYPAL,3.85,15377,4,B,France,C,"9455,26",a625907d-4407-419d-b75b-7ac9770254f5
VC-00074,B,01,USER 74,"3397,60",BRL,N,11/33,631,6329,12,"796,55",PT,Legacy note 74,STRIPE,1.68,12647,3,B,France,T,"9843,66",fd20ba68-b37b-44ab-bce7-3afd3dfe34f5
VC-00075,B,02,USER 75,"3231,76",USD,N,02/29,159,3648,22,"3979,78",ES,Legacy note 75,SQUARE,4.00,8048,3,A,USA,T,"3197,71",62953f53-738f-4937-b82a-95d4a0495160
